Part,Value,Device,Package,Description,POPULARITY,TP_SIGNAL_NAME,VALUE
IMEAS1,I?,PIN2X1IMEAS,PIN2X1,,,,I?
LIPO_RIDER,LIPO-RIDER,LIPO-RIDER,LIPO-RIDER,,,,
NANO33_BLE,NANO33_BLEPIN,NANO33_BLEPIN,NANO_BLE33_PIN,"Arduino Nano V3.0",,,
NB_IOT,MODULO_NB_IOT,MODULO_NB_IOT,MOD_NBI_OT,,,,
RTC,MODULO_RTC,MODULO_RTC,MOD_RTC,,,,
SEN5X,SENSOR_VOCS,SENSOR_VOCS,SEN_VOCS_CONECTOR,,,,
T6793-5K,SENSOR_CO2,SENSOR_CO2,SEN_CO2_T6793,,,,
TP5V,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPBAT,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPRX,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPSCL,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPSDA,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPTX,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPVIN,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
USB_SWITCH1,USB_SWITCH,USB_SWITCH,USB_SWITCH,,,,
