Part,Value,Device,Package,Description,POPULARITY,TP_SIGNAL_NAME,VALUE
CURR_MEAS,I?,CURR-MEAS,PIN2X1,,,,I?
LIPO_RIDER,LIPO-RIDER,LIPO-RIDER,LIPO-RIDER-STAND,,,,
NANO33_BLE,NANO33_BLEPIN,NANO33_BLEPIN,NANO_BLE33_PIN,"Arduino Nano V3.0",,,
NB_IOT,GROVE-UARTSMD,GROVE-UARTSMD,GROVE_SMD,,,,
POWER_SWITCH,USB_SWITCH,USB_SWITCH,USB-SWITCH,,,,
RTC,MODULO_RTC,RTC-DS3231MMOD-90,DS3231M-MOD-90,,,,
SEN5X,I2C-HEADER,I2C-HEADER,I2C-HEADER,,,,
T6793-5K,T6793,T6793,T6793,,,,
TP5V,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPBAT,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPRX,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPSCL,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPSDA,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPTX,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
TPVIN,PTR1TP20SQ,PTR1TP20SQ,TP20SQ,"TEST PIN",0,,
